Time,Sensor,x,y,z
5.772,LHip,1.970416125,23.31225806,0.247390397
5.772,LKne,0.944159432,14.83909774,0.210764588
5.772,LAnk,0.093395099,2.019500646,0.177226814
5.781,RHip,0.818134535,23.39043825,0.240596628
5.781,RKne,2.301300578,14.72866894,0.171259843
5.781,RAnk,0.34089867,2.1,0.180868167
5.781,LHip,1.970416125,23.31225806,0.247390397
5.781,LKne,1.222375691,14.8037594,0.234406439
5.781,LAnk,0.094739988,2.018897977,0.17630854
5.79,RHip,0.818134535,23.39043825,0.240596628
5.79,RKne,2.503612717,14.73549488,0.130577428
5.79,RAnk,0.33654287,2.1,0.147909968
5.79,LHip,1.970416125,23.31225806,0.247390397
5.79,LKne,1.222375691,14.8037594,0.234406439
5.79,LAnk,0.094739988,2.018897977,0.17630854
5.798,RHip,0.715152566,23.91633466,0.25226978
5.798,RKne,2.503612717,14.73549488,0.130577428
5.798,RAnk,0.33654287,2.1,0.147909968
5.798,LHip,1.832737321,23.39483871,0.247390397
5.798,LKne,1.222375691,14.8037594,0.234406439
5.798,LAnk,0.094739988,2.018897977,0.17630854
5.808,RHip,0.715152566,23.91633466,0.25226978
5.808,RKne,2.503612717,14.73549488,0.130577428
5.808,RAnk,0.33654287,2.1,0.147909968
5.808,LHip,1.832737321,23.39483871,0.247390397
5.808,LKne,1.1543015,14.79097744,0.189134809
5.808,LAnk,0.089659295,2.019457598,0.174931129
5.817,RHip,0.715152566,23.91633466,0.25226978
5.817,RKne,2.279624277,14.76535836,0.135826772
5.817,RAnk,0.342044934,2.1,0.17926045
5.817,LHip,1.832737321,23.39483871,0.247390397
5.817,LKne,1.1543015,14.79097744,0.189134809
5.817,LAnk,0.089659295,2.019457598,0.174931129
5.825,RHip,0.629334258,23.29482072,0.311284047
5.825,RKne,2.279624277,14.76535836,0.135826772
5.825,RAnk,0.342044934,2.1,0.17926045
5.825,LHip,1.81843303,24.08645161,0.222860125
5.825,LKne,1.1543015,14.79097744,0.189134809
5.825,LAnk,0.089659295,2.019457598,0.174931129
5.834,RHip,0.629334258,23.29482072,0.311284047
5.834,RKne,2.279624277,14.76535836,0.135826772
5.834,RAnk,0.342044934,2.1,0.17926045
5.834,LHip,1.81843303,24.08645161,0.222860125
5.834,LKne,1.11878453,14.83609023,0.097585513
5.834,LAnk,0.092199641,2.020619888,0.151515152
5.843,RHip,0.629334258,23.29482072,0.311284047
5.843,RKne,2.37716763,14.73848123,0.164041995
5.843,RAnk,0.338835397,2.1,0.176848875
5.843,LHip,1.81843303,24.08645161,0.222860125
5.843,LKne,1.11878453,14.83609023,0.097585513
5.843,LAnk,0.092199641,2.020619888,0.151515152
5.852,RHip,0.682732316,23.35856574,0.265239948
5.852,RKne,2.37716763,14.73848123,0.164041995
5.852,RAnk,0.338835397,2.1,0.176848875
5.852,LHip,1.990084525,23.96258065,0.202505219
5.852,LKne,1.11878453,14.83609023,0.097585513
5.852,LAnk,0.092199641,2.020619888,0.151515152
5.861,RHip,0.682732316,23.35856574,0.265239948
5.861,RKne,2.37716763,14.73848123,0.164041995
5.861,RAnk,0.338835397,2.1,0.176848875
5.861,LHip,1.990084525,23.96258065,0.202505219
5.861,LKne,1.382202052,14.84887218,0.060865191
5.861,LAnk,0.092498506,2.021523892,0.138200184
5.87,RHip,0.682732316,23.35856574,0.265239948
5.87,RKne,2.539739884,14.72824232,0.13648294
5.87,RAnk,0.341815681,2.1,0.18488746
5.87,LHip,1.990084525,23.96258065,0.202505219
5.87,LKne,1.382202052,14.84887218,0.060865191
5.87,LAnk,0.092498506,2.021523892,0.138200184
5.878,RHip,0.406206657,25.74900398,0.267185473
5.878,RKne,2.539739884,14.72824232,0.13648294
5.878,RAnk,0.341815681,2.1,0.18488746
5.878,LHip,2.154583875,23.06451613,0.189979123
5.878,LKne,1.382202052,14.84887218,0.060865191
5.878,LAnk,0.092498506,2.021523892,0.138200184
5.888,RHip,0.406206657,25.74900398,0.267185473
5.888,RKne,2.539739884,14.72824232,0.13648294
5.888,RAnk,0.341815681,2.1,0.18488746
5.888,LHip,2.154583875,23.06451613,0.189979123
5.888,LKne,1.207576953,14.83759398,0.121730382
5.888,LAnk,0.091601913,2.020060267,0.155188246
5.897,RHip,0.406206657,25.74900398,0.267185473
5.897,RKne,2.658959538,14.76919795,0.086614173
5.897,RAnk,0.338606144,2.1,0.173633441
5.897,LHip,2.154583875,23.06451613,0.189979123
5.897,LKne,1.207576953,14.83759398,0.121730382
5.897,LAnk,0.091601913,2.020060267,0.155188246
5.905,RHip,0.457697642,25.30278884,0.298313878
5.905,RKne,2.658959538,14.76919795,0.086614173
5.905,RAnk,0.338606144,2.1,0.173633441
5.905,LHip,2.011540962,24.04516129,0.217118998
5.905,LKne,1.207576953,14.83759398,0.121730382
5.905,LAnk,0.091601913,2.020060267,0.155188246
5.914,RHip,0.457697642,25.30278884,0.298313878
5.914,RKne,2.658959538,14.76919795,0.086614173
5.914,RAnk,0.338606144,2.1,0.173633441
5.914,LHip,2.011540962,24.04516129,0.217118998
5.914,LKne,0.979676401,14.85639098,0.117706237
5.914,LAnk,0.091153616,2.019758932,0.15610652
5.922,RHip,0.457697642,25.30278884,0.298313878
5.922,RKne,2.709537572,14.76322526,0.110892388
5.922,RAnk,0.34433746,2.098947368,0.197749196
5.922,LHip,2.011540962,24.04516129,0.217118998
5.922,LKne,0.979676401,14.85639098,0.117706237
5.922,LAnk,0.091153616,2.019758932,0.15610652
5.932,RHip,0.610263523,25.35059761,0.309338521
5.932,RKne,2.709537572,14.76322526,0.110892388
5.932,RAnk,0.34433746,2.098947368,0.197749196
5.932,LHip,2.399544863,24.16903226,0.189979123
5.932,LKne,0.979676401,14.85639098,0.117706237
5.932,LAnk,0.091153616,2.019758932,0.15610652
5.941,RHip,0.610263523,25.35059761,0.309338521
5.941,RKne,2.709537572,14.76322526,0.110892388
5.941,RAnk,0.34433746,2.098947368,0.197749196
5.941,LHip,2.399544863,24.16903226,0.189979123
5.941,LKne,1.225335438,14.81804511,0.122736419
5.941,LAnk,0.091751345,2.022298752,0.128099174
5.949,RHip,0.610263523,25.35059761,0.309338521
5.949,RKne,2.86849711,14.77133106,0.166666667
5.949,RAnk,0.335396607,2.1,0.138263666
5.949,LHip,2.399544863,24.16903226,0.189979123
5.949,LKne,1.225335438,14.81804511,0.122736419
5.949,LAnk,0.091751345,2.022298752,0.128099174
5.958,RHip,0.238384189,25.76494024,0.300907912
5.958,RKne,2.86849711,14.77133106,0.166666667
5.958,RAnk,0.335396607,2.1,0.138263666
5.958,LHip,2.276170351,24.71612903,0.210334029
5.958,LKne,1.225335438,14.81804511,0.122736419
